coname,gvkey,year,cusip,exchange,city,state,zip,spcode,ticker
VERISK ANALYTICS INC,180652,2019,92345Y10,NAS,Jersey City,NJ,07310,SP,VRSK
BROADCOM INC,180711,2019,11135F10,NAS,San Jose,CA,95131,SP,AVGO
ALLSCRIPTS HEALTHCARE SOLTNS,181104,2019,01988P10,NAS,Chicago,IL,60654,SM,MDRX
GREEN PLAINS INC,181269,2019,39322210,NAS,Omaha,NE,68106,SM,GPRE
CLEARWATER PAPER CORP,181931,2019,18538R10,NYS,Spokane,WA,99201,SM,CLW
U S SILICA HOLDINGS INC,181989,2019,90346E10,NYS,Katy,TX,77494,SM,SLCA
OFFICE PROPERTIES INCOME TR,182701,2019,67623C10,NAS,Newton,MA,02458,SM,OPI
READY CAPITAL CORP,183029,2019,75574U10,NYS,New York,NY,10020,SM,RC
ADDUS HOMECARE CORP,183283,2019,00673910,NAS,Frisco,TX,75034,SM,ADUS
PENNYMAC MORTGAGE INVEST TR,183324,2019,70931T10,NYS,Westlake Village,CA,91361,SM,PMT
FORTINET INC,183377,2019,34959E10,NAS,Sunnyvale,CA,94086,SP,FTNT
KAR AUCTION SERVICES INC,183581,2019,48238T10,NYS,Carmel,IN,46032,MD,KAR
APOLLO COMMERCIAL RE FIN INC,183606,2019,03762U10,NYS,New York,NY,10019,SM,ARI
R1 RCM INC,183636,2019,74939710,NAS,Chicago,IL,60611,MD,RCM
IRIDIUM COMMUNICATIONS INC,183640,2019,46269C10,NAS,McLean,VA,22102,MD,IRDM
GENERAC HOLDINGS INC,183736,2019,36873610,NYS,Waukesha,WI,53189,SP,GNRC
TWO HARBORS INVESTMENT CORP,183780,2019,90187B40,NYS,Minnetonka,MN,55305,SM,TWO
ARMOUR RESIDENTIAL REIT INC,183822,2019,04231550,NYS,Vero Beach,FL,32963,SM,ARR
PEBBLEBROOK HOTEL TRUST,183830,2019,70509V10,NYS,Bethesda,MD,20814,MD,PEB
ELLINGTON FINANCIAL INC,183902,2019,28852N10,NYS,Old Greenwich,CT,06870,SM,EFC
SPS COMMERCE INC,183974,2019,78463M10,NAS,Minneapolis,MN,55402,SM,SPSC
QUINSTREET INC,184263,2019,74874Q10,NAS,Foster City,CA,94404,SM,QNST
EXPRESS INC,184323,2019,30219E10,NYS,Columbus,OH,43230,EX,EXPR
GREEN DOT CORP,184392,2019,39304D10,NYS,Pasadena,CA,91107,SM,GDOT
OASIS PETROLEUM INC,184442,2019,67421520,NAS,Houston,TX,77002,EX,OAS
CBOE GLOBAL MARKETS INC,184500,2019,12503M10,OTH,Chicago,IL,60605,SP,CBOE
